name,brand,category,subcategory,drink_family,description,image_url,product_url,price_range,availability_regions,sweetness_score,bitterness_score,acidity_score,body_score,complexity_score,carbonation_score,intensity_score,flavor_tags,occasion_tags,food_pairing_tags,is_active
Canned Cocktail,Fauxmosa,RTD Mocktail,Canned Cocktail,Canned Cocktail,Alcohol-free mimosa with California chardonnay and sauvignon blanc grapes. Orange and turmeric with apple cider vinegar.,,https://www.totalwine.com/beer/nonalcoholic/na-cocktails/fauxmosa-orange-with-turmeric-nonalcoholic-mimosa/p/271387250,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Orange"",""Turmeric"",""Grape"",""Citrus"",""Spice""}","{""Brunch"",""Celebration"",""Baby Shower""}","{""Pastries"",""Fresh Fruit"",""Eggs Benedict""}",true
Canned Cocktail,Fauxmosa,RTD Mocktail,Canned Cocktail,Canned Cocktail,Alcohol-free cranberry mimosa with hibiscus and ginger. Tart festive flavors from California grapes and real fruit.,,https://www.totalwine.com/,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Cranberry"",""Hibiscus"",""Ginger"",""Grape"",""Tart""}","{""Holidays"",""Brunch"",""Thanksgiving""}","{""Turkey"",""Stuffing"",""Cranberry Sauce""}",true
Canned Cocktail,Fauxmosa,RTD Mocktail,Canned Cocktail,Canned Cocktail,Alcohol-free pineapple mimosa with lemon and mint. Tropical bright flavor from California grapes and pineapple juice.,,https://www.editorialist.com/p/orange-with-turmeric-4-pack--fauxmosa/,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Pineapple"",""Lemon"",""Mint"",""Grape"",""Tropical""}","{""Brunch"",""Summer"",""Poolside""}","{""Grilled Fish"",""Tropical Fruit"",""Light Fare""}",true
Spritz,Crodino,Aperitif,Bitter Aperitif,Spritz,Classic Italian non-alcoholic spritz since 1965 with herb and spice infusion. Bittersweet with clove cardamom and nutmeg for 6 months.,,https://www.crodino.com/en-us/,,"{""Wide (US/IT/EU)""}",5,9,5,3,5,2,5,"{""Herbal"",""Spice"",""Citrus"",""Bitter"",""Vanilla""}","{""Aperitivo Hour"",""Italian Cuisine""}","{""Antipasto"",""Olives"",""Bruschetta"",""Charcuterie""}",true
Tonic,Suze,Mixer,Tonic,Tonic,Ready-to-drink non-alcoholic Suze and tonic with bright yellow color. Bittersweet gentian root flavor with delicate citrus finish.,,https://www.suze.com/product/suze-tonic-0,,"{""Available (EU/US)""}",3,10,9,3,5,7,6,"{""Gentian"",""Tonic"",""Citrus"",""Bitter"",""Herbal""}","{""Aperitivo Hour"",""French Cuisine""}","{""Cheese Board"",""Charcuterie"",""Light Appetizers""}",true
THC Seltzer,Cann,Functional Drink,THC Seltzer,Cannabis Beverage,Microdosed THC social tonic with 2mg THC and 4mg CBD per can. Balanced light buzz with blood orange and cardamom flavor.,,https://drinkcann.com/,,"{""Wide (30+ states)""}",3,3,5,3,3,5,4,"{""Blood Orange"",""Cardamom"",""Citrus"",""Spice"",""Floral""}","{""Happy Hour"",""Socializing"",""Relaxation""}","{""Light Appetizers"",""Fruit"",""Cheese""}",true
THC Seltzer,WYNK,Functional Drink,THC Seltzer,Cannabis Beverage,Zero-sugar THC seltzer with black cherry and balanced 1:1 THC to CBD ratio. Light bubbly buzz in 10-15 minutes.,,https://drinkwynk.com/products/black-cherry-fizz,,"{""Wide (37+ states)""}",5,3,5,3,3,5,4,"{""Black Cherry"",""Berry"",""Tart"",""Sweet""}","{""Socializing"",""Relaxation"",""Party""}","{""Fruit"",""Cheese"",""Light Snacks""}",true
THC Seltzer,WYNK,Functional Drink,THC Seltzer,Cannabis Beverage,Sunny citrus THC seltzer with tangerine and balanced 1:1 THC to CBD. Zero calories zero sugar for guilt-free buzz.,,https://drinkwynk.com/products/tangerine,,"{""Wide (37+ states)""}",5,3,9,3,3,5,5,"{""Tangerine"",""Citrus"",""Orange"",""Sweet"",""Bright""}","{""Socializing"",""Daytime"",""Brunch""}","{""Citrus Salad"",""Light Fare"",""Fruit""}",true
THC Seltzer,WYNK,Functional Drink,THC Seltzer,Cannabis Beverage,Juicy mango THC seltzer with tropical sweetness and balanced THC to CBD ratio. Zero calories zero sugar.,,https://drinkwynk.com/products/juicy-mango,,"{""Wide (37+ states)""}",5,3,3,3,3,5,4,"{""Mango"",""Tropical"",""Citrus"",""Sweet""}","{""Summer"",""Beach"",""Socializing""}","{""Tropical Fruit"",""Grilled Fish"",""Light Fare""}",true
THC Seltzer,WYNK,Functional Drink,THC Seltzer,Cannabis Beverage,Zesty lime THC seltzer with bright citrus and balanced 1:1 THC to CBD ratio. Crisp refreshing microdosed experience.,,https://drinkwynk.com/products/lime-twist,,"{""Wide (37+ states)""}",5,3,9,3,3,5,5,"{""Lime"",""Citrus"",""Zesty"",""Fresh""}","{""Socializing"",""Happy Hour"",""Party""}","{""Tacos"",""Ceviche"",""Fresh Salads""}",true
THC Seltzer,WYNK,Functional Drink,THC Seltzer,Cannabis Beverage,Full-flavored strawberry lemonade THC seltzer with 10mg THC. Bold taste with zero sugar for stronger buzz.,,https://drinkwynk.com/products/lemonade,,"{""Wide (37+ states)""}",5,3,9,3,3,5,5,"{""Strawberry"",""Lemonade"",""Berry"",""Citrus""}","{""Party"",""Socializing"",""Evening""}","{""BBQ"",""Fried Food"",""Sweet Treats""}",true
Adaptogenic Seltzer,Recess (CBD),Functional Drink,Adaptogenic Seltzer,Adaptogenic,Hemp and adaptogen infused sparkling water with peach and ginger. 10mg broad spectrum hemp for calm and clarity.,,https://takearecess.com/shop/recess-mood,,"{""Wide (US)""}",5,3,3,3,3,5,4,"{""Peach"",""Ginger"",""Spice"",""Herbal"",""Fruity""}","{""Afternoon"",""Wind Down"",""Work""}","{""Light Snacks"",""Fruit"",""Herbal Tea""}",true
CBD Seltzer,Daytrip,Functional Drink,CBD Seltzer,Cannabis Beverage,CBD sparkling water with 25mg fast-acting CBD and terpenes. Blackberry flavor for bold fruit refreshment without THC.,,https://wearedaytrip.com/products/blackberry-sparkling-water,,"{""Wide (US)""}",3,5,3,3,3,5,4,"{""Blackberry"",""Berry"",""Tart"",""Sweet"",""Floral""}","{""Afternoon"",""Relaxation"",""Self-Care""}","{""Fruit"",""Light Snacks"",""Cheese""}",true
CBD Seltzer,Daytrip,Functional Drink,CBD Seltzer,Cannabis Beverage,Watermelon CBD sparkling water with 25mg fast-acting hemp CBD. Juicy bold flavor for cooling refreshment with mood support.,,https://wearedaytrip.com/products/sparkling,,"{""Wide (US)""}",3,5,3,3,3,5,4,"{""Watermelon"",""Melon"",""Sweet"",""Fresh"",""Fruity""}","{""Summer"",""Hydration"",""Workout""}","{""Fresh Melon"",""Light Salads"",""Fruit""}",true
THC Seltzer,RIVR,Functional Drink,THC Seltzer,Cannabis Beverage,THC yerba mate tea with mango passionfruit and functional mushrooms. Uplifting microdosed beverage with natural caffeine.,,https://drinkrivr.com/collections/all,,"{""Wide (35 states)""}",5,5,5,3,5,5,5,"{""Mango"",""Passionfruit"",""Guava"",""Orange"",""Tropical""}","{""Adventure"",""Daytime"",""Energy""}","{""Tropical Fruit"",""Light Fare"",""Energy Snacks""}",true
Spritz,Aplós,Sparkling,Spritz,Spritz,Functional ume plum spritz with grapefruit and white tea. Broad-spectrum hemp for calming effect with crisp bright flavor.,,https://www.aplos.world/collections/shop-all,,"{""Wide (US)""}",5,5,9,3,5,9,6,"{""Ume Plum"",""Grapefruit"",""White Tea"",""Citrus"",""Floral""}","{""Poolside"",""Afternoon"",""Relaxation""}","{""Light Appetizers"",""Sushi"",""Salads""}",true
Margarita,Aplós,RTD Mocktail,Margarita,Margarita,Functional chili margarita with mandarin and orange habanero. Adaptogens for mood elevation with spicy citrus punch.,,https://www.aplos.world/collections/shop-all,,"{""Wide (US)""}",5,5,9,3,5,6,5,"{""Mandarin"",""Lime"",""Habanero"",""Sea Salt"",""Spicy""}","{""Happy Hour"",""Taco Night"",""Spicy Food""}","{""Tacos"",""Guacamole"",""Spicy Mexican Food""}",true
Canned Cocktail,Aplós,RTD Mocktail,Canned Cocktail,Canned Cocktail,Kola fashioned old fashioned style with kola nut and smoked cherrywood. Functional adaptogens for a ritual drinking experience.,,https://www.aplos.world/collections/shop-all,,"{""Wide (US)""}",5,3,3,5,9,6,5,"{""Kola Nut"",""Smoked Cherry"",""Cardamom"",""Coconut"",""Warm""}","{""After Dinner"",""Ritual"",""Wind Down""}","{""Dark Chocolate"",""Roasted Nuts"",""Aged Cheese""}",true
Negroni,Aplós,RTD Mocktail,Negroni,Negroni,Mandora negroni with bitter orange and quassia. Complex bittersweet aperitivo with functional adaptogen blend.,,https://www.aplos.world/collections/shop-all,,"{""Wide (US)""}",5,9,5,5,9,6,7,"{""Mandora Orange"",""Quassia"",""Oakwood"",""Herbal"",""Bitter""}","{""Aperitivo Hour"",""Happy Hour""}","{""Charcuterie"",""Aged Cheese"",""Olives""}",true
Spritz,Lyre's,Sparkling,Spritz,Spritz,Ready-to-drink amalfi spritz with bittersweet orange and rhubarb. Fine bubbles with Mediterranean citrus and floral finish.,,https://lyres.com/products/amalfi-spritz-case-of-12,,"{""Wide (US/EU/AU)""}",5,5,9,3,5,9,6,"{""Orange"",""Rhubarb"",""Citrus"",""Floral"",""Bitter""}","{""Aperitivo Hour"",""Brunch"",""Summer""}","{""Antipasto"",""Seafood"",""Light Pasta""}",true
Spritz,Lyre's,Sparkling,Spritz,Spritz,Non-alcoholic Italian spritz aperitif with bitter orange and spice. Mix with classico for authentic spritz experience.,,https://lyres.com/products/lyres-non-alcoholic-spritz-mocktail-recipe,,"{""Wide (US/EU/AU)""}",5,9,9,3,9,9,7,"{""Bitter Orange"",""Rhubarb"",""Spice"",""Citrus"",""Herbal""}","{""Aperitivo Hour"",""Cocktail Hour""}","{""Cheese Board"",""Olives"",""Bruschetta""}",true
Canned Cocktail,Lyre's,RTD Mocktail,Canned Cocktail,Canned Cocktail,Non-alcoholic classico sparkling wine alternative with green apple and pear. Crisp dry finish for celebrations.,,https://lyres.com/products/classico-case-of-8,,"{""Wide (US/EU/AU)""}",5,5,9,3,5,6,5,"{""Green Apple"",""Pear"",""Peach"",""Grape"",""Dry""}","{""Celebration"",""Brunch"",""Wedding""}","{""Oysters"",""Light Appetizers"",""Soft Cheese""}",true
Canned Cocktail,Lyre's,RTD Mocktail,Canned Cocktail,Canned Cocktail,Non-alcoholic gin and tonic premix with botanical juniper. Classic G&T experience without the alcohol.,,https://lyres.com/collections/ready-to-drink,,"{""Wide (US/EU/AU)""}",5,3,9,3,5,6,5,"{""Juniper"",""Citrus"",""Tonic"",""Herbal"",""Bitter""}","{""Afternoon"",""Summer"",""Classic Cocktail Hour""}","{""Light Appetizers"",""Fish and Chips"",""Salads""}",true
Adaptogenic Seltzer,Recess Mood,Functional Drink,Adaptogenic Seltzer,Adaptogenic,Magnesium and adaptogen sparkling water with strawberry rose. Mood-boosting formula without hemp or THC.,,https://takearecess.com/shop/recess-mood,,"{""Wide (US)""}",3,5,3,3,3,5,4,"{""Strawberry"",""Rose"",""Floral"",""Berry"",""Sweet""}","{""Relaxation"",""Self-Care"",""Afternoon""}","{""Fruit Tarts"",""Light Desserts"",""Herbal Tea""}",true
Functional Beverage,Juni,Functional Drink,Functional Beverage,Adaptogenic,"Sparkling adaptogenic tea with black tea, green tea, and Super-5 blend. Lemonade iced tea with ashwagandha and lion's mane.",,https://www.drinkjuni.com/,,"{""Wide (US)""}",3,5,9,3,5,5,5,"{""Lemon"",""Tea"",""Citrus"",""Herbal"",""Adaptogens""}","{""Afternoon"",""Daytime"",""Energy Boost""}","{""Light Snacks"",""Fruit"",""Pastries""}",true
Canned Cocktail,Martini,RTD Mocktail,Canned Cocktail,Canned Cocktail,"Non-alcoholic floreale aperitivo with bergamot, chamomile, and lavender. Italian-inspired floral aperitif for mindful sipping.",,https://martini.com/,,"{""Wide (EU/US)""}",5,3,5,3,5,6,4,"{""Bergamot"",""Chamomile"",""Lavender"",""Floral"",""Herbal""}","{""Aperitivo Hour"",""Italian Cuisine""}","{""Light Appetizers"",""Antipasto"",""Cheese""}",true
Functional Beverage,Töst,Functional Drink,Functional Beverage,Adaptogenic,Non-alcoholic sparkling white tea beverage with white cranberry and ginger. Organic adaptogenic drink for celebrations.,,https://www.drinktost.com/,,"{""Wide (US)""}",5,5,5,3,5,5,5,"{""White Cranberry"",""Ginger"",""Citrus"",""Herbal"",""Spice""}","{""Celebration"",""Brunch"",""Wedding""}","{""Light Appetizers"",""Seafood"",""Salads""}",true
Canned Cocktail,Betty Buzz,RTD Mocktail,Canned Cocktail,Canned Cocktail,Clean ingredient sparkling mocktails with real fruit juices. Meyer lemon club soda with ginger and botanicals.,,https://bettybuzz.com/,,"{""Wide (US)""}",3,5,9,3,3,6,5,"{""Meyer Lemon"",""Ginger"",""Citrus"",""Herbal"",""Bubbly""}","{""Brunch"",""Afternoon"",""Kid-Friendly""}","{""Light Fare"",""Salads"",""Sandwiches""}",true
Tonic,Hella Cocktail Co.,Mixer,Tonic,Tonic,Non-alcoholic sparkling bitter aperitif with gentian and citrus. Complex bitter soda for sophisticated mocktails.,,https://hellacocktail.com/,,"{""Wide (US)""}",3,10,9,3,9,7,7,"{""Gentian"",""Citrus"",""Herbal"",""Bitter"",""Spice""}","{""Aperitivo Hour"",""Cocktail Hour""}","{""Cheese Board"",""Charcuterie"",""Olives""}",true
Canned Cocktail,The Pathfinder,RTD Mocktail,Canned Cocktail,Canned Cocktail,Hemp-infused non-alcoholic amaro with wormwood and Douglas fir. Complex herbal digestivo for after dinner.,,https://www.drinkpathfinder.com/,,"{""Wide (US)""}",5,10,3,8,10,6,7,"{""Wormwood"",""Douglas Fir"",""Herbal"",""Hemp"",""Bitter""}","{""After Dinner"",""Digestivo"",""Nightcap""}","{""Dark Chocolate"",""Aged Cheese"",""Nuts""}",true
Espresso Cocktail,Spiritless,RTD Mocktail,Espresso Cocktail,Coffee Cocktail,Non-alcoholic espresso martini with NA whiskey and real espresso. Rich coffee flavor with zero alcohol.,,https://spiritless.com/,,"{""Wide (US)""}",5,5,3,8,5,6,5,"{""Espresso"",""Coffee"",""Vanilla"",""Cocoa"",""Smoky""}","{""After Dinner"",""Nightcap"",""Dessert""}","{""Dark Chocolate"",""Tiramisu"",""Coffee Cake""}",true
Tonic,Barbican,Mixer,Tonic,Tonic,Non-alcoholic bitter lemon and other fruit-flavored malt beverages. Crisp refreshing alcohol-free alternative from the UK.,,https://www.barbican.com/,,"{""Wide (UK/EU)""}",5,3,9,3,3,7,5,"{""Lemon"",""Bitter"",""Citrus"",""Fruit"",""Malt""}","{""Any Occasion"",""Casual""}","{""Pub Food"",""Light Fare"",""Chips""}",true
Functional Beverage,Three Spirit,Functional Drink,Functional Beverage,Adaptogenic,Functional non-alcoholic elixir with adaptogens and nootropics. Sparkling livener with guayusa and schisandra for energy.,,https://threespirit.com/,,"{""Wide (US/EU)""}",3,5,9,3,5,5,5,"{""Guayusa"",""Schisandra"",""Citrus"",""Herbal"",""Spice""}","{""Social Hour"",""Energy"",""Party""}","{""Light Appetizers"",""Fruit"",""Herbal Fare""}",true
Canned Cocktail,MARTINI,RTD Mocktail,Canned Cocktail,Canned Cocktail,Non-alcoholic sparkling aperitivo with bitter orange and herbal botanicals. Vibrant color and complex Italian flavor profile.,,https://martini.com/,,"{""Wide (EU/US)""}",5,9,9,3,5,6,6,"{""Bitter Orange"",""Herbal"",""Citrus"",""Spice"",""Floral""}","{""Aperitivo Hour"",""Italian Cuisine""}","{""Antipasto"",""Bruschetta"",""Olives""}",true
Canned Cocktail,Pentire,RTD Mocktail,Canned Cocktail,Canned Cocktail,Coastal non-alcoholic spritz with sea fennel and citrus. Botanical blend from Cornish coast for fresh crisp sipping.,,https://pentiredrinks.com/,,"{""Wide (UK/EU/US)""}",3,3,9,3,5,6,5,"{""Sea Fennel"",""Citrus"",""Herbal"",""Coastal"",""Mineral""}","{""Aperitivo Hour"",""Seaside"",""Summer""}","{""Seafood"",""Light Salads"",""Fresh Oysters""}",true
Aperitivo,Everleaf,Aperitif,Bitter Aperitif,Aperitif,"Non-alcoholic aperitif with saffron, gentian, and botanicals. Complex warming spirit alternative for cocktails.",,https://everleafdrinks.com/,,"{""Wide (UK/EU/US)""}",5,9,5,5,9,2,6,"{""Saffron"",""Gentian"",""Citrus"",""Herbal"",""Spice""}","{""Aperitivo Hour"",""Cocktail Hour""}","{""Cheese Plate"",""Charcuterie"",""Nuts""}",true
Canned Cocktail,Everleaf,RTD Mocktail,Canned Cocktail,Canned Cocktail,Non-alcoholic mountain aperitif with fir and citrus. Botanicals from 14 plants for a crisp complex spritz.,,https://everleafdrinks.com/,,"{""Wide (UK/EU/US)""}",3,5,9,3,5,6,5,"{""Fir"",""Citrus"",""Herbal"",""Alpine"",""Pine""}","{""Aperitivo Hour"",""Outdoor"",""Nature""}","{""Light Appetizers"",""Salad"",""Fresh Cheese""}",true
Canned Cocktail,Moody Tongue,RTD Mocktail,Canned Cocktail,Canned Cocktail,Non-alcoholic sparkling water with grapefruit peel and black pepper. Culinary-inspired botanical soda for sophisticated sipping.,,https://modytongue.com/,,"{""Limited (US)""}",3,3,9,3,5,6,5,"{""Grapefruit"",""Black Pepper"",""Citrus"",""Spice"",""Herbal""}","{""Aperitivo Hour"",""Dinner Party""}","{""Grilled Fish"",""Fresh Salads"",""Light Fare""}",true
Aperitivo,Wilderton,Aperitif,Bitter Aperitif,Aperitif,Non-alcoholic botanical aperitif with wild foraged ingredients. Lustre flavor with chamomile and rhubarb. Smooth complex spirit alternative.,,https://wilderton.com/,,"{""Wide (US)""}",5,3,9,5,9,2,6,"{""Chamomile"",""Rhubarb"",""Herbal"",""Floral"",""Citrus""}","{""Aperitivo Hour"",""Cocktail Hour""}","{""Light Appetizers"",""Cheese"",""Garden Fare""}",true
Functional Beverage,De Soi,Functional Drink,Functional Beverage,Adaptogenic,Limited social spritz variety pack with adaptogens. Three flavors for uplifting mindful happy hour moments.,,https://drinkdesoi.com/collections/all-beverages,,"{""Wide (US)""}",3,3,5,3,5,5,4,"{""Variety"",""Citrus"",""Floral"",""Berry"",""Adaptogens""}","{""Social Hour"",""Happy Hour"",""Anytime""}","{""Light Appetizers"",""Cheese"",""Fruit""}",true
Functional Beverage,HOP WTR,Functional Drink,Functional Beverage,Adaptogenic,Double hopped sparkling water with extra hop intensity. Zero calorie functional beverage for hop lovers.,,https://www.hopwtr.com/,,"{""Wide (US)""}",5,9,3,3,5,5,5,"{""Hops"",""Citrus"",""Pine"",""Resin"",""Bitter""}","{""After Work"",""Craft Beer Alternative""}","{""Nuts"",""Charcuterie"",""Grilled Foods""}",true
Functional Beverage,Kin Euphorics,Functional Drink,Functional Beverage,Adaptogenic,"Dream light relaxing nightcap with reishi, melatonin, and L-tryptophan. Warm spiced made-to-mix for sleep support.",,https://www.kineuphorics.com/products/dream-light,,"{""Wide (US)""}",5,5,3,8,5,5,5,"{""Oak"",""Clove"",""Cinnamon"",""Spice"",""Vanilla""}","{""Nightcap"",""Sleep"",""Bedtime""}","{""Warm Oat Milk"",""Honey"",""Chamomile""}",true
Functional Beverage,Hiyo,Functional Drink,Functional Beverage,Adaptogenic,Classic variety pack containing four flavors of organic social tonic. Best-selling adaptogen seltzer for exploring the float.,,https://drinkhiyo.com/products/variety-pack,,"{""Wide (US)""}",5,5,5,3,3,5,4,"{""Variety"",""Berry"",""Citrus"",""Tropical"",""Mixed""}","{""Anytime"",""Socializing"",""Work""}","{""Mixed pairings"",""Various foods""}",true
CBD Seltzer,Lemmy,Functional Drink,CBD Seltzer,Cannabis Beverage,Classic sparkling lemonade with real lemon juice since 1939. Nostalgic retro lemonade brand with natural flavor.,,https://www.orcabeverage.com/product/lemmy-half-half-tea--lemonade,,"{""Limited (US)""}",9,5,9,3,3,5,6,"{""Lemon"",""Citrus"",""Sparkling"",""Lemonade"",""Sweet""}","{""Summer"",""BBQ"",""Kid-Friendly""}","{""BBQ"",""Fried Food"",""Outdoor Meals""}",true
Canned Cocktail,Curious Elixirs,RTD Mocktail,Canned Cocktail,Canned Cocktail,Mini can variety pack with pomegranate negroni and Sicilian spritz. Perfect portable format for on-the-go sipping.,,https://curiouselixirs.com/,,"{""Wide (US)""}",5,5,5,3,9,6,6,"{""Variety"",""Pomegranate"",""Blood Orange"",""Herbal"",""Spice""}","{""On-the-Go"",""Picnic"",""Travel""}","{""Various snacks"",""Cheese"",""Fruit""}",true
RTD Mocktail,Naked Life,RTD Mocktail,RTD Mocktail,RTD Mocktail,Cocktail sampler dozen with 12 flavors for variety seekers. Zero sugar non-alcoholic cocktail discovery pack.,,https://drinknakedlife.com/,,"{""Wide (US)""}",3,3,5,3,5,6,4,"{""Variety"",""Mint"",""Citrus"",""Berry"",""Herbal""}","{""Sampling"",""Party"",""Gifting""}","{""Various foods"",""Universal pairings""}",true
Functional Beverage,HOP WTR,Functional Drink,Functional Beverage,Adaptogenic,Party pack with all six flavors for maximum variety. Best-selling hop water collection for entertaining.,,https://hopwtr.com/products/party-pack-amazon-exclusive-12-pack,,"{""Wide (US)""}",5,3,3,3,5,5,4,"{""Variety"",""Citrus"",""Tropical"",""Berry"",""Hops""}","{""Party"",""Entertaining"",""BBQs""}","{""Mixed pairings"",""versatile""}",true
CBD Seltzer,Daytrip,Functional Drink,CBD Seltzer,Cannabis Beverage,Variety pack of CBD sparkling waters with six flavors. 25mg CBD per can for exploring different terpene profiles.,,https://wearedaytrip.com/products/variety-pack,,"{""Wide (US)""}",3,5,5,3,3,5,4,"{""Variety"",""Berry"",""Citrus"",""Tropical"",""Mixed""}","{""Sampling"",""Relaxation"",""Everyday""}","{""Various pairings""}",true
Botanical Soda,Casamara Club,Mixer,Botanical Soda,Botanical Soda,Capo limited edition botanical soda. Seasonal offering with unique flavor profile from Casamara's rotating series.,,https://www.casamaraclub.com/,,"{""Limited""}",3,5,5,3,5,7,5,"{""Seasonal"",""Botanicals"",""Herbal"",""Citrus""}","{""Seasonal"",""Limited"",""Aperitivo""}","{""Seasonal pairings""}",true
RTD Mocktail,Mingle Mocktails,RTD Mocktail,RTD Mocktail,RTD Mocktail,7-flavor variety pack with full Mingle lineup. Best-selling zero-proof mocktail collection for parties.,,https://www.minglemocktails.com/products/7-mocktail-flavor-variety-pack,,"{""Wide (US)""}",3,5,5,3,3,6,4,"{""Variety"",""Cosmo"",""Margarita"",""Mimosa"",""Bellini"",""Paloma"",""Rosé""}","{""Party"",""Entertaining"",""Gifting""}","{""Various foods"",""Universal pairings""}",true
Amaro Falso,St. Agrestis,Aperitif,Bitter Aperitif,Aperitif,Non-alcoholic limone amaro with bright lemon and herbal bitterness. Digestivo style for after dinner sipping over ice.,,https://stagrestis.com/collections/all,,"{""Limited (US)""}",5,9,9,5,9,2,7,"{""Lemon"",""Herbal"",""Bitter"",""Citrus"",""Spice""}","{""After Dinner"",""Digestivo"",""Summer""}","{""Lemon Desserts"",""Light Cheese"",""Fruit""}",true
Aperitivo,De Soi,Aperitif,Aperitivo,Aperitif,Adaptogenic raspberry aperitif with floral notes. Non-alcoholic pre-mixed drink with L-theanine for relaxation.,,https://drinkdesoi.com/collections/all-beverages,,"{""Wide (US)""}",5,3,5,3,5,2,4,"{""Raspberry"",""Floral"",""Berry"",""Herbal"",""Adaptogens""}","{""Aperitivo Hour"",""Happy Hour""}","{""Fruit Tarts"",""Light Cheese"",""Chocolate""}",true
